iter	Passed	Remaining
202	501	1968
203	504	1967
204	506	1965
205	507	1957
206	509	1950
207	510	1942
208	511	1935
209	512	1927
210	513	1920
211	514	1913
212	516	1907
213	517	1900
214	518	1893
215	519	1887
216	521	1880
217	522	1872
218	523	1865
219	524	1857
220	525	1850
221	525	1843
222	527	1836
223	528	1829
224	529	1822
225	530	1816
226	531	1810
227	532	1804
228	534	1798
229	535	1792
230	536	1785
231	537	1779
232	538	1772
233	539	1766
234	540	1759
235	541	1753
236	542	1747
237	543	1741
238	544	1734
239	545	1728
240	547	1723
241	548	1718
242	549	1712
243	550	1707
244	552	1701
245	553	1694
246	554	1688
247	554	1682
248	555	1676
249	556	1670
250	557	1664
251	558	1658
252	559	1652
253	560	1647
254	561	1641
255	564	1641
256	572	1656
257	574	1652
258	576	1649
259	578	1647
260	580	1644
261	582	1640
262	583	1636
263	585	1632
264	586	1627
265	587	1621
266	589	1617
267	590	1612
268	591	1608
269	593	1604
270	594	1599
271	595	1594
272	596	1589
273	597	1583
274	598	1578
275	599	1573
276	600	1568
277	601	1563
278	602	1558
279	604	1554
280	605	1549
281	607	1545
282	608	1541
283	609	1536
284	610	1532
285	611	1527
286	612	1522
287	614	1518
288	615	1513
289	616	1508
290	617	1503
291	617	1498
292	619	1493
293	621	1491
294	622	1488
295	624	1485
296	625	1480
297	626	1476
298	627	1471
299	628	1467
300	629	1462
301	630	1458
302	631	1453
303	633	1449
304	634	1445
305	635	1440
306	636	1436
307	637	1432
308	638	1428
309	640	1424
310	641	1420
311	642	1416
312	643	1412
313	644	1408
314	646	1404
315	647	1400
316	648	1396
317	649	1392
318	650	1389
319	652	1385
320	653	1382
321	654	1378
322	655	1374
323	656	1370
324	657	1366
325	658	1362
326	659	1358
327	660	1354
328	662	1350
329	662	1346
330	663	1341
331	665	1338
332	666	1335
333	668	1332
334	669	1329
335	670	1325
336	672	1322
337	673	1318
338	674	1314
339	675	1310
340	676	1306
341	677	1303
342	678	1299
343	679	1296
344	681	1293
345	682	1290
346	683	1286
347	684	1283
348	686	1279
349	687	1276
350	688	1272
351	689	1268
352	690	1265
353	691	1262
354	692	1258
355	693	1255
356	695	1252
357	696	1249
358	698	1246
359	699	1243
360	700	1239
361	701	1236
362	702	1232
363	703	1229
364	704	1226
365	705	1222
366	707	1220
367	708	1217
368	710	1214
369	711	1211
370	713	1208
371	714	1205
372	715	1202
373	716	1199
374	717	1196
375	718	1192
376	719	1189
377	721	1186
378	722	1183
379	723	1180
380	725	1177
381	726	1174
382	727	1171
383	728	1168
384	729	1165
385	730	1162
386	731	1158
387	732	1155
388	733	1151
389	734	1148
390	735	1145
391	736	1142
392	738	1140
393	739	1138
394	741	1135
395	742	1131
396	743	1128
397	744	1125
398	745	1122
399	746	1119
400	747	1116
401	748	1113
402	749	1110
403	750	1107
404	751	1104
405	753	1101
406	754	1099
407	755	1095
408	756	1092
409	757	1089
410	758	1086
411	759	1083
412	760	1080
413	761	1077
414	762	1074
415	763	1071
416	764	1069
417	766	1066
418	767	1064
419	768	1061
420	769	1058
421	770	1055
422	771	1052
423	772	1049
424	773	1046
425	774	1043
426	775	1040
427	776	1037
428	777	1034
429	778	1032
430	779	1029
431	780	1026
432	781	1023
433	783	1021
434	784	1018
435	785	1015
436	786	1012
437	787	1009
438	788	1007
439	788	1004
440	789	1001
441	791	998
442	792	995
443	793	993
444	794	990
445	800	994
446	807	998
447	810	999
448	813	998
449	816	997
450	818	996
451	820	994
452	822	993
453	825	992
454	827	990
455	829	989
456	831	988
457	833	986
458	835	984
459	836	981
460	837	979
461	839	978
462	841	975
463	842	972
464	843	970
465	845	968
466	846	966
467	847	963
468	848	960
469	849	958
470	850	955
471	851	952
472	855	953
473	859	954
474	861	951
475	862	949
476	863	946
477	864	944
478	865	941
479	866	939
480	868	936
481	870	935
482	871	933
483	873	931
484	874	928
485	875	926
486	876	923
487	877	921
488	878	918
489	879	915
490	881	913
491	882	910
492	883	908
493	884	906
494	886	904
495	887	901
496	888	899
497	889	896
498	890	894
499	891	891
500	892	889
501	893	886
502	894	884
503	895	881
504	897	879
505	898	876
506	899	874
507	901	872
508	902	870
509	903	868
510	904	865
511	905	863
512	906	860
513	907	858
514	908	855
515	909	853
516	910	850
517	911	848
518	913	846
519	914	844
520	915	841
521	916	839
522	917	837
523	918	834
524	919	832
525	921	830
526	922	827
527	923	825
528	924	822
529	925	820
530	926	817
531	927	815
532	928	813
533	929	810
534	936	814
535	945	818
536	948	817
537	950	816
538	953	815
539	955	813
540	957	812
541	960	811
542	962	810
543	964	808
544	966	806
545	968	804
546	969	802
547	970	800
548	972	798
549	974	797
550	976	795
551	978	793
552	979	791
553	980	789
554	981	787
555	982	784
556	984	782
557	985	780
558	986	778
559	987	776
560	988	773
561	990	771
562	991	769
563	992	767
564	993	765
565	994	762
566	995	760
567	996	758
568	997	755
569	998	753
570	999	751
571	1001	749
572	1002	746
573	1003	744
574	1004	742
575	1005	740
576	1006	738
577	1007	735
578	1008	733
579	1009	731
580	1010	728
581	1011	726
582	1012	724
583	1013	722
584	1014	719
585	1015	717
586	1016	715
587	1018	713
588	1027	717
589	1029	715
590	1031	713
591	1033	712
592	1034	710
593	1036	708
594	1038	706
595	1039	704
596	1040	702
597	1042	700
598	1043	698
599	1044	696
600	1045	694
601	1046	692
602	1047	689
603	1049	687
604	1050	685
605	1051	683
606	1052	681
607	1053	679
608	1054	676
609	1055	674
610	1056	672
611	1057	670
612	1058	668
613	1059	666
614	1060	663
615	1061	661
616	1062	659
617	1063	657
618	1065	655
619	1066	653
620	1067	651
621	1068	649
622	1069	647
623	1070	644
624	1071	642
625	1072	640
626	1073	638
627	1074	636
628	1075	634
629	1076	632
630	1077	630
631	1079	628
632	1080	626
633	1081	624
634	1082	622
635	1083	620
636	1084	618
637	1085	616
638	1086	614
639	1087	611
640	1088	609
641	1089	607
642	1091	605
643	1092	604
644	1094	602
645	1095	600
646	1096	598
647	1097	596
648	1099	594
649	1100	592
650	1101	590
651	1102	588
652	1103	586
653	1104	584
654	1105	582
655	1106	580
656	1108	578
657	1109	576
658	1111	574
659	1112	572
660	1113	570
661	1114	569
662	1115	567
663	1116	565
664	1117	563
665	1118	561
666	1120	559
667	1121	557
668	1123	555
669	1124	554
670	1126	552
671	1127	550
672	1128	548
673	1129	546
674	1130	544
675	1131	542
676	1132	540
677	1133	538
678	1134	536
679	1135	534
680	1137	532
681	1139	531
682	1141	529
683	1142	527
684	1143	525
685	1144	523
686	1145	521
687	1146	519
688	1147	517
689	1148	515
690	1149	514
691	1150	512
692	1152	510
693	1153	508
694	1155	506
695	1156	505
696	1157	503
697	1158	501
698	1159	499
699	1160	497
700	1161	495
701	1162	493
702	1163	491
703	1164	489
704	1165	487
705	1167	486
706	1168	484
707	1169	482
708	1170	480
709	1171	478
710	1172	476
711	1173	474
712	1174	472
713	1175	471
714	1176	469
715	1178	467
716	1179	465
717	1180	463
718	1181	461
719	1181	459
720	1182	457
721	1183	455
722	1184	453
723	1185	451
724	1186	450
725	1187	448
726	1188	446
727	1188	444
728	1189	442
729	1190	440
730	1193	439
731	1201	440
732	1206	439
733	1209	438
734	1212	437
735	1215	436
736	1217	434
737	1220	433
738	1222	431
739	1224	430
740	1225	428
741	1227	426
742	1228	424
743	1230	423
744	1231	421
745	1232	419
746	1233	417
747	1235	416
748	1236	414
749	1237	412
750	1238	410
751	1239	408
752	1241	407
753	1242	405
754	1243	403
755	1244	401
756	1245	399
757	1246	398
758	1247	396
759	1249	394
760	1250	392
761	1250	390
762	1251	388
763	1253	387
764	1253	385
765	1254	383
766	1255	381
767	1256	379
768	1257	377
769	1258	375
770	1259	374
771	1260	372
772	1263	371
773	1271	371
774	1274	369
775	1277	368
776	1280	367
777	1282	365
778	1284	364
779	1286	362
780	1288	361
781	1290	359
782	1292	358
783	1293	356
784	1295	354
785	1297	353
786	1300	351
787	1301	350
788	1302	348
789	1303	346
790	1305	344
791	1306	343
792	1307	341
793	1308	339
794	1309	337
795	1310	335
796	1311	334
797	1313	332
798	1314	330
799	1315	328
800	1316	327
801	1317	325
802	1318	323
803	1319	321
804	1320	319
805	1321	318
806	1322	316
807	1324	314
808	1325	312
809	1326	311
810	1327	309
811	1328	307
812	1330	305
813	1331	304
814	1332	302
815	1333	300
816	1334	298
817	1335	297
818	1336	295
819	1337	293
820	1338	291
821	1339	290
822	1340	288
823	1341	286
824	1343	284
825	1344	283
826	1345	281
827	1347	279
828	1348	278
829	1349	276
830	1350	274
831	1351	272
832	1352	271
833	1353	269
834	1354	267
835	1355	265
836	1356	264
837	1357	262
838	1358	260
839	1360	259
840	1362	257
841	1363	255
842	1364	254
843	1364	252
844	1365	250
845	1366	248
846	1367	247
847	1368	245
848	1370	243
849	1371	241
850	1372	240
851	1373	238
852	1374	236
853	1376	235
854	1377	233
855	1378	231
856	1379	230
857	1380	228
858	1381	226
859	1382	225
860	1383	223
861	1384	221
862	1385	219
863	1386	218
864	1388	216
865	1389	214
866	1390	213
867	1391	211
868	1392	209
869	1393	208
870	1394	206
871	1395	204
872	1396	203
873	1397	201
874	1398	199
875	1399	198
876	1400	196
877	1402	194
878	1403	193
879	1404	191
880	1405	189
881	1406	188
882	1407	186
883	1408	184
884	1409	183
885	1410	181
886	1411	179
887	1412	178
888	1413	176
889	1414	174
890	1416	173
891	1417	171
892	1418	169
893	1419	168
894	1420	166
895	1421	165
896	1422	163
897	1423	161
898	1424	160
899	1425	158
900	1426	156
901	1427	155
902	1428	153
903	1429	151
904	1435	150
905	1440	149
906	1442	147
907	1444	146
908	1446	144
909	1447	143
910	1449	141
911	1451	140
912	1452	138
913	1454	136
914	1455	135
915	1456	133
916	1457	131
917	1459	130
918	1460	128
919	1461	127
920	1463	125
921	1464	123
922	1465	122
923	1466	120
924	1467	118
925	1468	117
926	1469	115
927	1470	114
928	1471	112
929	1472	110
930	1474	109
931	1475	107
932	1476	106
933	1478	104
934	1479	102
935	1480	101
936	1481	99
937	1482	97
938	1483	96
939	1484	94
940	1485	93
941	1486	91
942	1487	89
943	1488	88
944	1490	86
945	1491	85
946	1492	83
947	1493	81
948	1494	80
949	1496	78
950	1497	77
951	1498	75
952	1499	73
953	1499	72
954	1500	70
955	1502	69
956	1503	67
957	1504	65
958	1505	64
959	1507	62
960	1508	61
961	1509	59
962	1510	58
963	1511	56
964	1512	54
965	1513	53
966	1514	51
967	1516	50
968	1517	48
969	1519	46
970	1520	45
971	1521	43
972	1523	42
973	1524	40
974	1525	39
975	1526	37
976	1527	35
977	1528	34
978	1529	32
979	1530	31
980	1532	29
981	1533	28
982	1534	26
983	1536	24
984	1537	23
985	1538	21
986	1539	20
987	1540	18
988	1541	17
989	1542	15
990	1543	14
991	1544	12
992	1545	10
993	1546	9
994	1548	7
995	1549	6
996	1550	4
997	1552	3
998	1553	1
999	1554	0
